congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,156,0.974358974358974,0.95838943,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,61,0.983606557377049,0.97714068,63
0,house,A000367,Amash,MI,3,Independent,155,0.625806451612903,0.76226199,9.4
115,house,A000367,Amash,MI,3,R,96,0.541666666666667,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,57,0.754385964912281,0.65685821,9.4
116,house,A000367,Amash,MI,3,R,2,1,0.59582585,9.4
0,house,A000369,Amodei,NV,2,Republican,155,0.974193548387097,0.81361751,12.3
115,house,A000369,Amodei,NV,2,R,94,0.98936170212766,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,61,0.950819672131147,0.71667539,12.3
0,house,A000370,Adams,NC,12,Democrat,154,0.116883116883117,0.13663061,-40
115,house,A000370,Adams,NC,12,D,92,0.173913043478261,0.20378724,-40
116,house,A000370,Adams,NC,12,D,62,0.032258064516129,0.03697885,-40
0,house,A000371,Aguilar,CA,31,Democrat,155,0.187096774193548,0.21114329,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.276595744680851,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,61,0.0491803278688525,0.05284677,-21.1
0,house,A000372,Allen,GA,12,Republican,158,0.968354430379747,0.873771,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,63,0.968253968253968,0.82548958,16.2
0,house,A000374,Abraham,LA,5,Republican,134,0.940298507462687,0.94051953,29.4
115,house,A000374,Abraham,LA,5,R,96,0.927083333333333,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,38,0.973684210526316,0.9270796,29.4
0,house,A000375,Arrington,TX,19,Republican,157,0.961783439490446,0.95813146,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,62,0.951612903225806,0.9711884,49
0,house,A000376,Allred,TX,32,Democrat,62,0.0645161290322581,0.1898803,-1.9
116,house,A000376,Allred,TX,32,D,62,0.0645161290322581,0.1898803,-1.9
0,house,A000377,Armstrong,ND,0,Republican,61,0.934426229508197,0.95762472,35.72888837
116,house,A000377,Armstrong,ND,0,R,61,0.934426229508197,0.95762472,35.72888837
0,house,A000378,Axne,IA,3,Democrat,63,0.0634920634920635,0.35958722,3.5
116,house,A000378,Axne,IA,3,D,63,0.0634920634920635,0.35958722,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.923913043478261,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.923913043478261,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
0,house,B000490,Bishop,GA,2,Democrat,155,0.290322580645161,0.30186191,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.451612903225806,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,62,0.0483870967741935,0.0777306,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,153,0.117647058823529,0.12755535,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.175824175824176,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,62,0.032258064516129,0.0337052,-48.2
0,house,B000755,Brady,TX,8,Republican,156,0.987179487179487,0.95796056,48.8
115,house,B000755,Brady,TX,8,R,96,0.989583333333333,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,60,0.983333333333333,0.97043158,48.8
0,house,B001227,Brady,PA,1,Democrat,93,0.172043010752688,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.172043010752688,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.919540229885057,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,156,0.955128205128205,0.93799588,26.5
115,house,B001248,Burgess,TX,26,R,94,0.957446808510638,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,62,0.951612903225806,0.93332655,26.5
0,house,B001250,Bishop,UT,1,Republican,154,0.961038961038961,0.94060198,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247311828,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,61,0.967213114754098,0.93825675,27.3
0,house,B001251,Butterfield,NC,1,Democrat,156,0.141025641025641,0.14520684,-37
115,house,B001251,Butterfield,NC,1,D,94,0.212765957446809,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,62,0.032258064516129,0.03834326,-37
0,house,B001257,Bilirakis,FL,12,Republican,157,0.961783439490446,0.89970319,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.978947368421053,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,62,0.935483870967742,0.8657811,18.6
0,house,B001260,Buchanan,FL,16,Republican,151,0.933774834437086,0.78156065,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.966666666666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,61,0.885245901639344,0.66481204,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.978260869565217,0.93672465,23.8
115,house,B001269,Barletta,PA,11,R,92,0.978260869565217,0.93672465,23.8
0,house,B001270,Bass,CA,37,Democrat,146,0.089041095890411,0.09509165,-76.1
115,house,B001270,Bass,CA,37,D,87,0.126436781609195,0.14088039,-76.1
116,house,B001270,Bass,CA,37,D,59,0.0338983050847458,0.02757267,-76.1
0,house,B001273,Black,TN,6,Republican,78,0.935897435897436,0.95902609,48.9
115,house,B001273,Black,TN,6,R,78,0.935897435897436,0.95902609,48.9
0,house,B001274,Brooks,AL,5,Republican,155,0.890322580645161,0.95034181,33.4
115,house,B001274,Brooks,AL,5,R,92,0.83695652173913,0.94722233,33.4
116,house,B001274,Brooks,AL,5,R,63,0.968253968253968,0.95489725,33.4
0,house,B001275,Bucshon,IN,8,Republican,155,0.967741935483871,0.9503552,33.7
115,house,B001275,Bucshon,IN,8,R,96,0.989583333333333,0.94905825,33.7
116,house,B001275,Bucshon,IN,8,R,59,0.932203389830508,0.95246549,33.7
0,house,B001278,Bonamici,OR,1,Democrat,158,0.132911392405063,0.19658353,-22.8
115,house,B001278,Bonamici,OR,1,D,95,0.2,0.29451476,-22.8
116,house,B001278,Bonamici,OR,1,D,63,0.0317460317460317,0.04890944,-22.8
0,house,B001281,Beatty,OH,3,Democrat,151,0.132450331125828,0.14104056,-38.4
115,house,B001281,Beatty,OH,3,D,92,0.195652173913043,0.2060699,-38.4
116,house,B001281,Beatty,OH,3,D,59,0.0338983050847458,0.03963888,-38.4
0,house,B001282,Barr,KY,6,Republican,158,0.962025316455696,0.86293194,15.3
115,house,B001282,Barr,KY,6,R,96,0.96875,0.90105912,15.3
116,house,B001282,Barr,KY,6,R,62,0.951612903225806,0.80389631,15.3
0,house,B001283,Bridenstine,OK,1,Republican,52,0.942307692307692,0.95711151,28.7
115,house,B001283,Bridenstine,OK,1,R,52,0.942307692307692,0.95711151,28.7
0,house,B001284,Brooks,IN,5,Republican,158,0.968354430379747,0.80809449,11.8
